data,evento,tipo,status,uf,rodovia,concessionaria,norma,observacao,fonte,atualizado_em
2024-11-18,A Tamoios liga o pórtico do Contorno Sul,operacao,confirmado,SP,SP-099,Concessionária Tamoios,n/d,"Km 13+500, em Caraguatatuba. Cobra de todos os tipos de veículo, inclusive motocicletas, nos dois sentidos.",https://www.sigafacil.sp.gov.br,2026-08-26
2025-06-12,A Senatran cria a homologação obrigatória dos sistemas de livre passagem,norma,confirmado,nacional,n/d,n/d,Portaria Senatran nº 442/2025,"Assinada em 10 de junho e publicada em 12 de junho. Pelo art. 8º, § 2º, sistema não homologado não pode ser usado para identificar o veículo para fins de infração, o que afasta o art. 209-A. A tarifa continua devida.",https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/portarias-2025,2026-08-26
2025-09-27,A Nova 381 inicia a cobrança no Vale do Aço,operacao,confirmado,MG,BR-381,Concessionária de Rodovia Nova 381,Deliberação ANTT nº 339/2025,Cinco pórticos entre Belo Horizonte e Governador Valadares. Concessão que opera 100% em pedágio eletrônico.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2025-10-01,A Motiva Sorocabana passa a cobrar na Raposo Tavares,operacao,confirmado,SP,SP-270,Motiva Sorocabana (CCR Sorocabana),n/d,"Três pórticos, em São Roque, Alumínio e Araçoiaba da Serra. A mesma concessão mantém cinco pórticos apenas de monitoramento, que não cobram.",https://www.sigafacil.sp.gov.br,2026-08-26
2025-11-01,A Concessionária Novo Litoral liga os pórticos do litoral paulista,operacao,confirmado,SP,SP-055; SP-088; SP-098,Concessionária Novo Litoral (CNL),n/d,"Cinco pontos tarifários em quatro rodovias, mais dois pórticos de monitoramento em Itariri que não cobram. Motocicletas são isentas em toda a concessão.",https://www.sigafacil.sp.gov.br,2026-08-26
2025-11-17,A Way-262 inicia a cobrança na Rota do Zebu,operacao,confirmado,MG,BR-262,Concessionária da Rodovia BR-262/MG (Way-262),Deliberação ANTT nº 427/2025,Pórticos em Nova Serrana e Ibiá. A concessionária declara isenção de motocicleta em toda a extensão da concessão.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2025-12-06,"A Via Dutra ativa o trecho metropolitano, o de maior demanda de busca do país",operacao,confirmado,SP,BR-116,Concessionária do Sistema Rodoviário Rio-São Paulo (RioSP),n/d,"Do km 204, em Arujá, ao km 231, em São Paulo, só nas pistas expressas, com a marginal gratuita. Tarifa proporcional ao trecho e variável por dia e horário. A praça física de Arujá segue em operação, sem cobrança dobrada.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2025-12-23,O Rodoanel Norte passa a cobrar por pórtico,operacao,confirmado,SP,SP-021,Via SP Serra (Rodoanel Norte SPE),n/d,"Um pórtico por sentido no km 135, em Guarulhos. Neste lote as motocicletas não são isentas.",https://www.sigafacil.sp.gov.br,2026-08-26
2026-01-12,"A Nova 364 leva o Free Flow a Rondônia, na maior extensão contínua do país",operacao,confirmado,RO,BR-364,Concessionária de Rodovia Nova 364,n/d,"Sete pórticos ao longo de 686,7 quilômetros, em concessão 100% eletrônica. Motos têm passe livre sem cadastro.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2026-01-29,"Uma liminar suspende a cobrança na BR-364, em Rondônia",suspensao,confirmado,RO,BR-364,Concessionária de Rodovia Nova 364,n/d,"Único caso do país em que a cobrança começou, parou e voltou. Passagens ocorridas durante a suspensão não geram tarifa devida.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2026-02-12,O TRF1 derruba a liminar e a cobrança em Rondônia é retomada,suspensao,confirmado,RO,BR-364,Concessionária de Rodovia Nova 364,n/d,"Quatorze dias de suspensão. A retomada valeu daqui para a frente, sem cobrança retroativa do período suspenso.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2026-02-23,A EPR Iguaçu começa a cobrar no oeste e sudoeste do Paraná,operacao,confirmado,PR,BR-163; PR-182; PR-280,EPR Iguaçu,n/d,"Quatro pórticos. A BR-277, na mesma concessão, segue com praça convencional. PR-182 e PR-280 têm sigla estadual e estão em lote federal, regulado pela ANTT.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2026-03-27,A ANTT publica a regulamentação definitiva do Free Flow federal,norma,confirmado,nacional,n/d,n/d,Resolução ANTT nº 6.079/2026,"Traz a régua completa: prazo de 30 dias contado da passagem para os encargos, meios de pagamento obrigatórios, devolução em dobro de cobrança indevida em até 7 dias e guarda das transações por cinco anos.",https://anttlegis.antt.gov.br/,2026-08-26
2026-04-29,O CONTRAN abre a janela de regularização e muda a contagem do prazo,norma,confirmado,nacional,n/d,n/d,Deliberação CONTRAN nº 277/2026,"Prazo excepcional de 200 dias, até 16 de novembro de 2026, para regularizar tarifas sem as penalidades de trânsito. Também passou a contar os 30 dias da confirmação do processamento do registro, e não da passagem. A tarifa continua devida.",https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
2026-05-04,A EPR Paraná ativa oito pórticos no norte e noroeste,operacao,confirmado,PR,BR-369; BR-376,EPR Paraná,n/d,Oito pórticos que correspondem a quatro pontos tarifários.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2026-05-27,A Rota Verde leva o primeiro pedágio eletrônico a Goiás,operacao,confirmado,GO,BR-060; BR-452,Rota Verde Goiás,n/d,"Onze pórticos em sete pontos tarifários, com pares por sentido na BR-060. A concessionária declara que não comercializa tags.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2026-06-01,A PRVias começa a cobrar na Rodovia do Café e na PR-445,operacao,confirmado,PR,BR-376; PR-445,"PRVias (Motiva Paraná, ex-CCR RodoNorte)",n/d,"Fecha o ciclo paranaense: os 14 pórticos do estado entraram em operação entre fevereiro e junho de 2026. Há divergência de quilometragem entre o cadastro da ANTT e a comunicação da concessionária, registrada na base.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2026-07-19,O pórtico da Imigrantes sentido capital é realocado,adiamento,confirmado,SP,SP-160,Ecovias dos Imigrantes,n/d,"Do km 29 para depois do km 38, após manifestação de moradores do Pós-Balsa, em São Bernardo do Campo. A estrutura do km 29 permanece no local e passa a cumprir função de monitoramento de tráfego.",https://www.sigafacil.sp.gov.br,2026-08-26
2026-07-27,O Sistema Anchieta-Imigrantes é adiado sem nova data,adiamento,confirmado,SP,SP-150; SP-160,Ecovias dos Imigrantes,n/d,"O início estava previsto para 1º de agosto de 2026. É o adiamento mais relevante do país, por envolver o corredor de acesso à Baixada Santista. Enquanto não houver nova data, não existe cobrança por pórtico nas duas rodovias.",https://www.sigafacil.sp.gov.br,2026-08-26
2026-07-31,A Senatran publica as duas primeiras portarias de homologação de Free Flow,institucional,confirmado,nacional,n/d,n/d,Portaria Senatran nº 442/2025,"Portarias 603 e 604, para Motiva Sorocabana e Ecovias Noroeste Paulista. É o início da fila de homologação criada em 2025.",https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/portarias-2026,2026-08-26
2026-08-10,Quatorze portarias de homologação publicadas em onze dias,institucional,confirmado,nacional,n/d,n/d,Portaria Senatran nº 442/2025,"Da portaria 603, de 31 de julho, à 640, de 10 de agosto. A homologação autoriza a operação, mas não é aprovação técnica nem início de cobrança.",https://www.gov.br/transportes/pt-br/assuntos/transito/senatran/portarias-2026,2026-08-26
2026-08-24,O app CNH do Brasil passa a mostrar passagens de Free Flow,institucional,confirmado,nacional,n/d,n/d,Resolução CONTRAN nº 1.013/2024,"Consulta nacional em rodovias federais, estaduais e municipais integradas, com 14 concessionárias na estreia. Mostra, alerta e encaminha, mas não recebe pagamento. Empresas consultam exclusivamente pelo Portal de Serviços Senatran.",https://www.serpro.gov.br/menu/noticias/noticias-2026/free-flow,2026-08-26
2026-08-24,A ANTT anuncia nova etapa regulatória para os meios de pagamento,institucional,anunciado,nacional,n/d,n/d,n/d,"A proposta de abertura de audiência pública sobre requisitos dos meios de pagamento foi pautada para a reunião da Diretoria Colegiada de 27 de agosto de 2026. Se aprovada, a previsão divulgada é de contribuições entre 8 de setembro e 23 de outubro de 2026. Até a aprovação, é proposta pautada e não audiência aberta.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
2026-10-10,"Início anunciado da cobrança na MT-130, que faria de Mato Grosso o oitavo estado",operacao,anunciado,MT,MT-130,Concessionária de Rodovias Rota dos Grãos,n/d,"Seis pórticos substituem duas praças físicas em cerca de 140 quilômetros. Até a data anunciada não há cobrança por pórtico na rodovia. Anúncio de início é promessa, e só vira fato quando a cobrança começa.",https://pedagioeletronico.rotadosgraos130.com.br,2026-08-26
2026-11-16,Último dia da janela de regularização sem penalidades de trânsito,norma,confirmado,nacional,n/d,n/d,Deliberação CONTRAN nº 277/2026,Quitar dentro do prazo cancela os processos de infração e exclui a pontuação. Restituição de multa já paga depende de pedido do usuário.,https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
2026-11-17,A regra ordinária volta a valer integralmente,norma,confirmado,nacional,n/d,n/d,Deliberação CONTRAN nº 277/2026,"Tarifas não quitadas dentro do prazo regulamentar voltam a poder gerar auto de infração do art. 209-A, com os processos seguindo o curso regular do Código de Trânsito Brasileiro.",https://www.gov.br/transportes/pt-br/assuntos/transito/contran,2026-08-26
