rodovia,sigla,uf,trecho,concessionaria,grupo_economico,esfera,orgao_regulador,n_porticos,inicio_operacao,status,descontos_dbt_duf,url_pagamento_oficial,url_tarifa_oficial,fonte,atualizado_em
Rodoanel Mário Covas - Trecho Norte,SP-021,SP,"Guarulhos, km 135 (um pórtico por sentido)",Via SP Serra (Rodoanel Norte SPE),Via Appia / Starboard,estadual,ARTESP,2,2025-12-23,ativo,n/d,https://viaappia.com.br/sigafacil/,https://viaappia.com.br/sigafacil/,https://www.sigafacil.sp.gov.br,2026-08-25
Rota da Serra Gaúcha,ERS-122,RS,"São Sebastião do Caí (km 4), Farroupilha (km 45), Antônio Prado (km 108), Ipê (km 151)",Caminhos da Serra Gaúcha (CSG),n/d,estadual,AGERGS,4,2023-12-15,ativo,sim,https://freeflow.csg.com.br,https://www.csg.com.br/pedagio-eletronico-freeflow/tarifas-e-descontos,https://parcerias.rs.gov.br/free-flow,2026-08-25
Vale do Caí,ERS-240,RS,Capela de Santana (km 30),Caminhos da Serra Gaúcha (CSG),n/d,estadual,AGERGS,1,2024-03-30,ativo,sim,https://freeflow.csg.com.br,https://www.csg.com.br/pedagio-eletronico-freeflow/tarifas-e-descontos,https://parcerias.rs.gov.br/free-flow,2026-08-25
Carlos Barbosa,ERS-446,RS,Carlos Barbosa (km 6),Caminhos da Serra Gaúcha (CSG),n/d,estadual,AGERGS,1,2024-03-30,ativo,sim,https://freeflow.csg.com.br,https://www.csg.com.br/pedagio-eletronico-freeflow/tarifas-e-descontos,https://parcerias.rs.gov.br/free-flow,2026-08-25
Doutor Francisco Bueno Brandão,MG-459,MG,"Monte Sião (km 12,7), Sul de Minas",EPR Sul de Minas,Grupo EPR,estadual,DER-MG,1,2024-06-04,ativo,n/d,https://www.pedagiosemcancela.com.br,https://eprsuldeminas.com.br/pedagio-eletronico,https://eprsuldeminas.com.br/pedagio-eletronico,2026-08-25
Via Anchieta (Sistema Anchieta-Imigrantes),SP-150,SP,"km 33, descida e subida da serra; praça física do km 31 (Riacho Grande) segue em operação",Ecovias dos Imigrantes,EcoRodovias,estadual,ARTESP,2,,adiado,n/d,https://freeflow.ecovias.com.br/onde-tem-pedagio-eletronico-no-sistema-ecovias/ecovias-imigrantes/,https://www.ecoviasimigrantes.com.br/servicos/tarifas-pedagio,https://g1.globo.com/sp/santos-regiao/noticia/2026/07/27/governo-de-sp-adia-inicio-do-pedagio-eletronico-no-sistema-anchieta-imigrantes-entenda.ghtml,2026-08-25
Rodovia dos Imigrantes (Sistema Anchieta-Imigrantes),SP-160,SP,km 29 na descida; na subida o pórtico foi realocado para a região do km 38 (ponto exato em estudo),Ecovias dos Imigrantes,EcoRodovias,estadual,ARTESP,2,,adiado,n/d,https://freeflow.ecovias.com.br/onde-tem-pedagio-eletronico-no-sistema-ecovias/ecovias-imigrantes/,https://www.ecoviasimigrantes.com.br/servicos/tarifas-pedagio,https://g1.globo.com/sp/santos-regiao/noticia/2026/07/27/governo-de-sp-adia-inicio-do-pedagio-eletronico-no-sistema-anchieta-imigrantes-entenda.ghtml,2026-08-25
"Tenente Celestino Américo (Rota Sorocabana, 2ª etapa)",SP-079,SP,"Piedade e Tapiraí (km 114, 138 e 193); pórticos instalados, hoje só monitoramento",Motiva Sorocabana (CCR Sorocabana),Motiva (ex-CCR),estadual,ARTESP,3,2027-01-01,adiado,n/d,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/04/14/governo-de-sp-adia-inicio-de-pedagio-free-flow-na-regiao-de-sorocaba.ghtml,2026-08-25
"João Leme dos Santos (Rota Sorocabana, 2ª etapa)",SP-264,SP,"Salto de Pirapora (km 114 e km 230); pórticos instalados, hoje só monitoramento",Motiva Sorocabana (CCR Sorocabana),Motiva (ex-CCR),estadual,ARTESP,2,2027-01-01,adiado,n/d,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/04/14/governo-de-sp-adia-inicio-de-pedagio-free-flow-na-regiao-de-sorocaba.ghtml,2026-08-25
Rota Sorocabana - 2ª etapa,SP-139,SP,"São Miguel Arcanjo (km 110); pórtico instalado, hoje só monitoramento",Motiva Sorocabana (CCR Sorocabana),Motiva (ex-CCR),estadual,ARTESP,1,2027-01-01,adiado,n/d,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/04/14/governo-de-sp-adia-inicio-de-pedagio-free-flow-na-regiao-de-sorocaba.ghtml,2026-08-25
"Bunjiro Nakao (Rota Sorocabana, 2ª etapa)",SP-250,SP,"Ibiúna (km 56), Piedade (km 93), Pilar do Sul (km 122) e Capão Bonito (km 162 e 188)",Motiva Sorocabana (CCR Sorocabana),Motiva (ex-CCR),estadual,ARTESP,5,2027-01-01,adiado,n/d,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://rodovias.motiva.com.br/sorocabana/freeflow/,https://g1.globo.com/sp/sorocaba-jundiai/noticia/2026/04/14/governo-de-sp-adia-inicio-de-pedagio-free-flow-na-regiao-de-sorocaba.ghtml,2026-08-25
Lote 5 - Via Campo,BR-163,PR,"Corbélia, Mamborê e Floresta; sistema em homologação, sem previsão de início da cobrança",Via Campo,Pátria Investimentos,federal,ANTT,0,,adiado,n/d,https://viacampopr.com.br/pedagio-eletronico,,https://viacampopr.com.br/pedagio-eletronico,2026-08-25
Nova Raposo,SP-280,SP,"Castello Branco e Raposo Tavares, RMSP; primeiros pórticos a partir de 2026",Ecovias Raposo Castello,EcoRodovias,estadual,ARTESP,0,,previsto,n/d,https://ecoviasraposocastello.com.br/,,https://www.sigafacil.sp.gov.br,2026-08-25
Rota das Gerais,BR-116,MG,"BR-116 e BR-251, norte de MG; contrato prevê Free Flow a partir de dezembro de 2026",Ecovias das Gerais,EcoRodovias,federal,ANTT,0,2026-12-01,previsto,sim,https://pedagiodigital.com,,https://www.ecoviasdasgerais.com.br/pedagio-eletronico,2026-08-25
BR-101/RJ Norte,BR-101,RJ,"Pórticos previstos em Tanguá, Itaboraí e São Gonçalo; sem cronograma público",Arteris Fluminense,Arteris / Abertis,federal,ANTT,3,,previsto,sim,,,https://www.gov.br/antt/pt-br/assuntos/ultimas-noticias/antt-realiza-leilao-e-destrava-r-10-1-bi-para-modernizar-a-br-101-rj-um-dos-principais-corredores-petroliferos-do-pais,2026-08-25
Trecho Metropolitano do Rio,BR-116,RJ,"km 161,70 ao km 205,87; Free Flow previsto no contrato, sem cronograma público",Ecovias Rio Minas,EcoRodovias,federal,ANTT,0,,previsto,sim,https://pedagiodigital.com,https://www.ecoviasriominas.com.br/servicos/beneficios-tarifarios,https://www.gov.br/antt/pt-br/assuntos/rodovias/concessionarias/lista-de-concessoes/ecoriominas,2026-08-25
Rota Portuária do Sul,BR-116,RS,Camaquã à ponte sobre o Rio Jaguarão; 14 pórticos previstos no projeto (BR-116 e BR-392),a licitar,,federal,ANTT,14,,previsto,sim,,,https://www.gov.br/antt/pt-br/assuntos/rodovias/novos-projetos-em-rodovias,2026-08-25
FreeWay e malha ViaSul,BR-290,RS,"Conversão das 7 praças físicas em estudo, sem prazo definido",CCR ViaSul,Motiva (ex-CCR),federal,ANTT,0,,previsto,sim,https://pedagiodigital.com,https://rodovias.motiva.com.br/viasul,https://www.correiodopovo.com.br/verao/substituicao-dos-pedagios-por-free-flow-nas-rodovias-da-viasul-segue-em-fase-de-estudos-1.1686495,2026-08-25
Nova Rota do Oeste,BR-163,MT,Itiquira a Sinop; ANTT lista termo aditivo previsto para adoção do Free Flow,Nova Rota do Oeste,MTPAR,federal,ANTT,0,,previsto,sim,,https://novarotadooeste.com.br/tarifas,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
Rodovia da Mudança,MT-449,MT,Lucas do Rio Verde e Tapurah; 6 pórticos em 3 corredores tarifários aprovados pela AGER-MT,Rodovia da Mudança,n/d,estadual,AGER-MT,6,,previsto,n/d,,,https://www.nortaomt.com.br/ager-aprova-seis-porticos-de-pedagio-free-flow-em-mt-e-preve-arrecadacao-de-r-27-bilhoes,2026-08-25
Rota da Celulose,BR-262,MS,Corredor Três Lagoas-Água Clara-Campo Grande; 14 pórticos previstos para novembro de 2026,a definir,,estadual,AGEMS,14,2026-11-01,previsto,n/d,,,https://tribunadopantanal.com.br/a-partir-de-novembro-de-2026-pedagio-eletronico-comecara-a-funcionar-na-rota-da-celulose,2026-08-25
EPR Litoral Pioneiro,BR-153,PR,ANTT lista termo aditivo previsto; a concessionária declarou não haver previsão (fontes divergentes),EPR Litoral Pioneiro,Grupo EPR,federal,ANTT,0,,previsto,sim,,,https://www.gov.br/antt/pt-br/free-flow,2026-08-25
