rodovia,sigla,uf,municipio,km,sentido,porticos_no_registro,tipo,concessionaria,data_ativacao,status,observacao,fonte,atualizado_em
Raposo Tavares,SP-270,SP,Alumínio / Sorocaba,83,ambos,1,cobranca,Motiva Sorocabana (CCR Sorocabana),2025-10-01,ativo,,https://rodovias.motiva.com.br/sorocabana/freeflow/,2026-08-26
Raposo Tavares,SP-270,SP,Araçoiaba da Serra,111,ambos,1,cobranca,Motiva Sorocabana (CCR Sorocabana),2025-10-01,ativo,,https://rodovias.motiva.com.br/sorocabana/freeflow/,2026-08-26
Tenente Celestino Américo,SP-079,SP,Piedade; Tapiraí,114; 138; 193,n/d,0,monitoramento,Motiva Sorocabana (CCR Sorocabana),,instalado_aguardando,"Pórticos instalados que hoje operam apenas como monitoramento. Cobrança adiada, sem data.",https://www.sigafacil.sp.gov.br,2026-08-26
Rota Sorocabana - 2ª etapa,SP-139,SP,São Miguel Arcanjo,110,n/d,0,monitoramento,Motiva Sorocabana (CCR Sorocabana),,instalado_aguardando,"Pórticos instalados que hoje operam apenas como monitoramento. Cobrança adiada, sem data.",https://www.sigafacil.sp.gov.br,2026-08-26
Bunjiro Nakao,SP-250,SP,Ibiúna; Piedade; Pilar do Sul; Capão Bonito,56; 93; 122; 162; 188,n/d,0,monitoramento,Motiva Sorocabana (CCR Sorocabana),,instalado_aguardando,"Pórticos instalados que hoje operam apenas como monitoramento. Cobrança adiada, sem data.",https://www.sigafacil.sp.gov.br,2026-08-26
João Leme dos Santos,SP-264,SP,Salto de Pirapora,114; 230,n/d,0,monitoramento,Motiva Sorocabana (CCR Sorocabana),,instalado_aguardando,"Pórticos instalados que hoje operam apenas como monitoramento. Cobrança adiada, sem data.",https://www.sigafacil.sp.gov.br,2026-08-26
Laurentino Mascari / Carlos Tonanni,SP-333,SP,Itápolis,179,ambos,1,cobranca,Ecovias Noroeste Paulista,2024-09-04,ativo,"Concessionária divulga prazo de pagamento próprio, menor que a regra geral.",https://freeflow.ecoviasnoroestepaulista.com.br,2026-08-26
Laurentino Mascari / Carlos Tonanni,SP-333,SP,Jaboticabal,110,ambos,1,cobranca,Ecovias Noroeste Paulista,2024-09-04,ativo,"Concessionária divulga prazo de pagamento próprio, menor que a regra geral.",https://freeflow.ecoviasnoroestepaulista.com.br,2026-08-26
Brigadeiro Faria Lima,SP-326,SP,Dobrada,307,ambos,1,cobranca,Ecovias Noroeste Paulista,2025-11-01,ativo,,https://freeflow.ecoviasnoroestepaulista.com.br,2026-08-26
Brigadeiro Faria Lima,SP-326,SP,Taiúva,357,ambos,1,cobranca,Ecovias Noroeste Paulista,2025-11-01,ativo,,https://freeflow.ecoviasnoroestepaulista.com.br,2026-08-26
Via Anchieta (Sistema Anchieta-Imigrantes),SP-150,SP,São Bernardo do Campo,33,ambos,0,cobranca,Ecovias dos Imigrantes,,instalado_aguardando,"Pórticos instalados nos dois sentidos, sem cobrança. Início adiado em 27/07/2026 sem nova data. A praça física do km 31 (Riacho Grande) segue em operação.",https://www.sigafacil.sp.gov.br,2026-08-26
Rodovia dos Imigrantes (Sistema Anchieta-Imigrantes),SP-160,SP,São Bernardo do Campo,29,descida (litoral),0,cobranca,Ecovias dos Imigrantes,,instalado_aguardando,"Pórtico instalado, sem cobrança. Início adiado sem nova data.",https://www.sigafacil.sp.gov.br,2026-08-26
Rodovia dos Imigrantes (Sistema Anchieta-Imigrantes),SP-160,SP,São Bernardo do Campo,após o 38,subida (capital),0,cobranca,Ecovias dos Imigrantes,,instalado_aguardando,"Ponto de cobrança realocado do km 29 para a região após o km 38, em julho de 2026, para preservar deslocamentos locais da região do Pós-Balsa. Ponto exato ainda em definição.",https://www.sigafacil.sp.gov.br,2026-08-26
Lote Iguaçu,BR-163,PR,Santa Lúcia,154,ambos,1,cobranca,EPR Iguaçu,2026-02-23,ativo,,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Lote Iguaçu,BR-163,PR,Santa Lúcia,"156,1",ambos,1,cobranca,EPR Iguaçu,2026-02-23,ativo,,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Lote Iguaçu,PR-182,PR,Ampére,"517,4",ambos,1,cobranca,EPR Iguaçu,2026-02-23,ativo,,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Lote Iguaçu,PR-280,PR,Vitorino,"234,3",ambos,1,cobranca,EPR Iguaçu,2026-02-23,ativo,,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Lote 4 - Norte e Noroeste do Paraná,BR-369,PR,Jataizinho,126,ambos,2,cobranca,EPR Paraná,2026-05-04,ativo,Um pórtico por sentido.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Lote 4 - Norte e Noroeste do Paraná,BR-369,PR,Rolândia / Arapongas,"180,2",ambos,2,cobranca,EPR Paraná,2026-05-04,ativo,Um pórtico por sentido.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Lote 4 - Norte e Noroeste do Paraná,BR-376,PR,Presidente Castelo Branco / Mandaguaçu,"145,8",ambos,2,cobranca,EPR Paraná,2026-05-04,ativo,Um pórtico por sentido.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Lote 4 - Norte e Noroeste do Paraná,BR-376,PR,Marialva / Mandaguari,196,ambos,2,cobranca,EPR Paraná,2026-05-04,ativo,Um pórtico por sentido.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Rodovia do Café,BR-376,PR,Mauá da Serra,"294,8",ambos,1,cobranca,"PRVias (Motiva Paraná, ex-CCR RodoNorte)",2026-06-01,ativo,"Divergência de quilometragem: o cadastro da ANTT registra km 294,8 e a concessionária comunica km 292. Adotado o valor da ANTT.",https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Rodovia Celso Garcia Cid,PR-445,PR,Tamarana,"2,47",ambos,1,cobranca,"PRVias (Motiva Paraná, ex-CCR RodoNorte)",2026-06-01,ativo,Divergência de município: a ANTT registra Londrina e a concessionária registra Tamarana.,https://www.gov.br/antt/pt-br/free-flow,2026-08-26
Rota do Zebu,BR-262,MG,Nova Serrana,n/d,ambos,1,cobranca,Concessionária da Rodovia BR-262/MG (Way-262),2025-11-17,ativo,Quilometragem exata não publicada pela concessionária.,https://pedagioeletronico.way262.com.br,2026-08-26
Rota do Zebu,BR-262,MG,Ibiá,n/d,ambos,1,cobranca,Concessionária da Rodovia BR-262/MG (Way-262),2025-11-17,ativo,Quilometragem exata não publicada pela concessionária.,https://pedagioeletronico.way262.com.br,2026-08-26
Vale do Aço,BR-381,MG,Entre Belo Horizonte e Governador Valadares,450+540 a 150,ambos,5,cobranca,Concessionária de Rodovia Nova 381,2025-09-27,ativo,"Cinco pórticos distribuídos em 303,4 km. A concessionária não publica a lista individual de quilometragens. Passagem disponível para consulta em até 2 horas; 25 totens ao longo do trecho.",https://pedagioeletronico.nova381.com,2026-08-26
Rota Agro Norte,BR-364,RO,De Porto Velho / Candeias do Jamari a Vilhena / Pimenta Bueno,n/d,ambos,7,cobranca,Concessionária de Rodovia Nova 364,2026-01-12,ativo,"Sete pórticos em 686,7 km, a maior extensão contínua do país. A concessionária não publica a lista individual de quilometragens. Isenções exigem cadastro prévio; 14 totens nas bases SAU.",https://pedagioeletronico.nova364.com,2026-08-26
Doutor Francisco Bueno Brandão,MG-459,MG,Monte Sião,"12,7",ambos,1,cobranca,EPR Sul de Minas,2024-06-04,ativo,Tem modalidade pré-paga.,https://www.pedagiosemcancela.com.br,2026-08-26
Concessão Centro-Norte,BR-060,GO,Abadia de Goiás; Indiara; Jandaia; Acreúna,n/d,ambos,8,cobranca,Rota Verde Goiás,2026-05-27,ativo,"Oito pórticos do Anel Viário de Goiânia ao Contorno de Rio Verde, em 229,6 km. A concessionária não publica a lista individual de quilometragens.",https://pedagioeletronico.rotaverdegoias.com.br,2026-08-26
Concessão Centro-Norte,BR-452,GO,Santa Helena de Goiás; Bom Jesus de Goiás,n/d,ambos,3,cobranca,Rota Verde Goiás,2026-05-27,ativo,"Três pórticos de Rio Verde a Itumbiara, em 196,6 km. A concessionária não publica a lista individual de quilometragens.",https://pedagioeletronico.rotaverdegoias.com.br,2026-08-26
Rota da Serra Gaúcha,ERS-122,RS,São Sebastião do Caí,"4,6",ambos,1,cobranca,Caminhos da Serra Gaúcha (CSG),2023-12-15,ativo,,https://parcerias.rs.gov.br/free-flow,2026-08-26
Rota da Serra Gaúcha,ERS-122,RS,Farroupilha,"45,5",ambos,1,cobranca,Caminhos da Serra Gaúcha (CSG),2023-12-15,ativo,,https://parcerias.rs.gov.br/free-flow,2026-08-26
Rota da Serra Gaúcha,ERS-122,RS,Antônio Prado,"108,3",ambos,1,cobranca,Caminhos da Serra Gaúcha (CSG),2023-12-15,ativo,"Primeiro pórtico de free flow em rodovia estadual do Brasil, entre Antônio Prado e Flores da Cunha. Os demais pórticos do Bloco 3 entraram em 30/03/2024.",https://parcerias.rs.gov.br/free-flow,2026-08-26
Rota da Serra Gaúcha,ERS-122,RS,Ipê,"151,9",ambos,1,cobranca,Caminhos da Serra Gaúcha (CSG),2023-12-15,ativo,,https://parcerias.rs.gov.br/free-flow,2026-08-26
Vale do Caí,ERS-240,RS,Capela de Santana,"30,1",ambos,1,cobranca,Caminhos da Serra Gaúcha (CSG),2024-03-30,ativo,,https://parcerias.rs.gov.br/free-flow,2026-08-26
Carlos Barbosa,ERS-446,RS,Carlos Barbosa,6,ambos,1,cobranca,Caminhos da Serra Gaúcha (CSG),2024-03-30,ativo,,https://parcerias.rs.gov.br/free-flow,2026-08-26
