canal,operador,tipo,url_oficial,funcao,quem_pode_usar,observacao,verificacao,verificado_em
Pedágio Eletrônico Nova 364,Nova 364,site,https://pedagioeletronico.nova364.com,pagamento,"qualquer motorista, com ou sem tag, na BR-364/RO","Isenções (motos, ambulâncias, veículos oficiais) exigem cadastro prévio. 14 totens nas bases SAU.",verificado,2026-08-25
Pedágio Eletrônico Way-262,Way-262,site,https://pedagioeletronico.way262.com.br,pagamento,"qualquer motorista, com ou sem tag, na BR-262/MG",Também disponível pelo app Way Rodovias e por totens.,parcial (bloqueio anti-bot),2026-08-25
Pedágio Eletrônico EPR,Grupo EPR,site,https://www.eprpedagioeletronico.com.br,pagamento,"qualquer motorista, com ou sem tag, nas concessões EPR",App oficial: Pedágio Eletrônico EPR. A EPR declara que não envia boletos aos usuários.,verificado,2026-08-25
Pedágio sem Cancela (EPR Sul de Minas),Grupo EPR,site,https://www.pedagiosemcancela.com.br,pagamento,motoristas na MG-459,Tem modalidade pré-paga.,parcial,2026-08-25
Pedágio Eletrônico Rota Verde Goiás,Rota Verde Goiás,site,https://pedagioeletronico.rotaverdegoias.com.br,pagamento,"qualquer motorista, com ou sem tag, nas BR-060 e BR-452","Em caso de dúvida, chegue por https://rotaverdegoias.com.br e siga o bloco Pedágio Eletrônico. A concessionária não comercializa tags.",parcial,2026-08-25
CSG FreeFlow,Caminhos da Serra Gaúcha,site,https://freeflow.csg.com.br,pagamento,"qualquer motorista, com ou sem tag, nas ERS-122, ERS-240 e ERS-446","Permite pagamento informando apenas a placa, sem cadastro. Com cadastro, dá acesso a extrato e descontos.",verificado,2026-08-25
Tamoios Free Flow,Concessionária Tamoios,site,https://freeflowtamoios.com.br,pagamento,motoristas no Contorno Sul da SP-099,Passagens cobradas automaticamente por tag NÃO aparecem neste canal - o que costuma gerar dúvida e é explorado por golpistas.,verificado,2026-08-25
Pedágio Eletrônico CNL,Concessionária Novo Litoral,site,https://cnl.pedagioeletronico.com.br,pagamento,"motoristas nas SP-088, SP-098 e SP-055",Portal operado pela Movvia para a CNL.,verificado,2026-08-25
Free Flow Motiva Sorocabana,Motiva (ex-CCR),site,https://rodovias.motiva.com.br/sorocabana/freeflow/,pagamento,motoristas na SP-270 (Raposo Tavares),"Também por app Motiva Rodovias, WhatsApp e totens.",verificado,2026-08-25
Siga Fácil Via Appia,Via Appia / Via SP Serra,site,https://viaappia.com.br/sigafacil/,pagamento,motoristas no Rodoanel Norte (SP-021),Pagamento integrado ao Sem Parar. Neste trecho motos não são isentas.,parcial,2026-08-25
Quitação de débito SPMAR,Concessionária SPMAR,site,https://www.spmar.com.br/web/quitacao-de-divida,pagamento,motoristas nos trechos Sul e Leste do Rodoanel,"Praças convencionais, não é free flow. O pagamento é concluído em domínio de terceiro: chegue sempre partindo de spmar.com.br, nunca por link recebido.",verificado,2026-08-25
Portal Pedágio Eletrônico (Movvia),Pedágio Eletrônico e Pagamentos Movvia (Grupo Pumatronix),site,https://www.pedagioeletronico.com.br,pagamento,"qualquer motorista, sem cadastro, APENAS nas concessionárias integradas","Processa pagamento somente das concessionárias integradas (CNL, CSG e Via Campo). Mantém páginas informativas sobre dezenas de outras concessionárias que apenas encaminham - confira sempre se o seu trecho é pagável ali.",verificado,2026-08-25
Pedágio Eletrônico Sem Parar,Sem Parar Instituição de Pagamento,site,https://www.pedagioeletronicosemparar.com.br,pagamento,"qualquer motorista, inclusive sem tag Sem Parar","Pagamento avulso por placa, inclusive de veículo que não é seu. Cobre as concessionárias listadas no próprio portal.",verificado,2026-08-25
Sem Parar (tag),Sem Parar Instituição de Pagamento,site,https://www.semparar.com.br,tag,quem quer contratar a tag e deixar a cobrança automática,Canal mais indicado para contratação da tag; o SuperApp Sem Parar é alternativa.,verificado,2026-08-25
ConectCar (tag),ConectCar,tag,https://conectcar.com,tag,clientes da tag ConectCar,Operadora autorizada pela ANTT.,verificado,2026-08-25
Veloe (tag),Veloe,tag,https://veloe.com.br,tag,clientes da tag Veloe,Operadora autorizada pela ANTT.,verificado,2026-08-25
Taggy (tag),Taggy,tag,https://www.taggy.com.br,tag,clientes da tag Taggy,Operadora autorizada pela ANTT.,verificado,2026-08-25
Move Mais (tag),Move Mais,tag,https://www.movemais.com,tag,clientes da tag Move Mais,Operadora autorizada pela ARTESP.,verificado,2026-08-25
Zul+ (tag),Estapar,tag,https://www.zuldigital.com.br,tag,clientes da tag Zul+,Atua como emissora de tag. Não foi identificado canal de pagamento avulso de free flow por placa.,verificado,2026-08-25
